Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS103152,Business Basics Round 1,Laura Macleod - Macleod Education,COOMERA,GOLD COAST CITY,Professional business advice,5000
BBAS103153,Business Basics Round 1,KYABEL,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS103160,Business Basics Round 1,A1 Cabinet Supplies Pty Ltd,REDLANDS,REDLAND CITY,Website build/upgrades,5000
BBAS103163,Business Basics Round 1,Curbside,BUNDABERG,BUNDABERG REGIONAL,Strategic marketing services,5000
BBAS103164,Business Basics Round 1,The Trustee for APSM Trust,MAIWAR,BRISBANE CITY,Strategic marketing services,5000
BBAS103166,Business Basics Round 1,Zista,MOUNT OMMANEY,BRISBANE CITY,Training and coaching,5000
BBAS103167,Business Basics Round 1,The Illume Group,COOPER,BRISBANE CITY,Strategic marketing services,5000
BBAS103174,Business Basics Round 1,Feel Good Creative,MILLER,BRISBANE CITY,Training and coaching,5000
BBAS103183,Business Basics Round 1,Accession Consulting Pty Ltd,COOPER,BRISBANE CITY,Strategic marketing services,5000
BBAS103188,Business Basics Round 1,ED/T Photography,BULIMBA,BRISBANE CITY,Strategic marketing services,5000
BBAS103190,Business Basics Round 1,My Driver Direct,EVERTON,BRISBANE CITY,Website build/upgrades,5000
BBAS103191,Business Basics Round 1,H2OZONE,GLASS HOUSE,MORETON BAY REGIONAL,Strategic marketing services,5000
BBAS103192,Business Basics Round 1,Connection Capital Pty Ltd,BULIMBA,BRISBANE CITY,Training and coaching,5000
BBAS103196,Business Basics Round 1,Sunshine coast mortgages Pty Ltd,EVERTON,MORETON BAY REGIONAL,Training and coaching,5000
BBAS103200,Business Basics Round 1,Pirate's Cleaning & Pest Control T/a PD FLOORS,BURDEKIN,ISAAC REGIONAL,Training and coaching,5000
BBAS103201,Business Basics Round 1,Advice & Information Pty Ltd,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS103202,Business Basics Round 1,Flyscreen Repairs Ltd Pty,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS103203,Business Basics Round 1,Stacey Leigh Morris trading as Mirror Mirror Mirror Makeup Artistry,TOOWOOMBA NORTH,TOOWOOMBA REGIONAL,Strategic marketing services,5000
BBAS103212,Business Basics Round 1,Larmac Pty Ltd,REDCLIFFE,MORETON BAY REGIONAL,Strategic marketing services,5000
BBAS103213,Business Basics Round 1,My Essential Alchemy,TOOWOOMBA NORTH,TOOWOOMBA REGIONAL,Training and coaching,5000
BBAS103216,Business Basics Round 1,G & A Family Investments Pty Ltd t/as Inspired Financial Planners,GAVEN,GOLD COAST CITY,Website build/upgrades,5000
BBAS103220,Business Basics Round 1,Homescape Furniture,WATERFORD,LOGAN CITY,Training and coaching,5000
BBAS103222,Business Basics Round 1,karma world pty td,LYTTON,BRISBANE CITY,Professional business advice,5000
BBAS103223,Business Basics Round 1,The Shift health and Wellness PTY LTD,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS103225,Business Basics Round 1,Future Protect Insurance,IPSWICH,IPSWICH CITY,Website build/upgrades,5000
BBAS103226,Business Basics Round 1,R W H Global Pty Ltd T/A Presidential Accounting,THEODORE,GOLD COAST CITY,Website build/upgrades,5000
